abampere,10,ampere (A)
abcoulomb,10,coulomb (C)
abfarad,1000000000,farad (F)
abhenry,1E-09,henry (H)
abmho,1000000000,siemen (S)
abohm,1E-09,ohm ()
abvolt,1E-08,volt (V)
"acceleration, standard",9.80665,m per sec squared
"acceleration, standard",32,foot . per sec per sec (foot per s²)
acre,10,square . chainch (Gunter's)
acre,160,square . rod 
acre,100000,square . link (Gunter's)
acre,0.4047,hectare
acre ,43560,square . foot
acre ,4046.873,square . meter 
acre ,0.001562,square . mile 
acre ,4840,square . yard 
acre-foot,43560,cubic . foot
acre-foot,325900,gallon 
acre-foot,1233.489,cubic meter (m³)
ampere-hour ,3600,coulomb (C)
ampere-hour ,0.03731,faraday 
ampere-turn ,1.257,gilbert 
amp (watt = amp x volts),amp x volt,watt (see details)
angstrom unit,3.94E-06,inch
angstrom unit,1E-10,meter
angstrom unit,0.0001,micron
are,100,square meter
astromical unit,1.495 979E+08,kilometer 
atmosphere ,0.007348,ton per square . inch
atmosphere ,76,centimeter of mercury
atmosphere ,33.9,foot . of water(at 4°C)
atmosphere ,406.8,inch . of water(at 4°C)
atmosphere ,29.92,inch . of mercury (0°C)
atmosphere ,101.325,kilo Pascal
atmosphere ,1.0333,kilogram per square . centimeter 
atmosphere ,10332,kilogram per square . meter
atmosphere ,14.7,pound per square . inch 
atmosphere ,1.058,ton per square . foot 
barn,1E-28,square meter
barrel (US dry),7056,cubic . inch
barrel (US dry),105,quart (dry)
"barrel (US, liquid)",31.5,gallon 
barrel (oil),158.9873,litre (L or l)
barrel (oil),42,gallon (oil)
bar ,0.9869,atmosphere 
bar ,1000000,dyne per square . centimeter 
bar ,10200,kilogram per square . meter
bar ,100000,pascal
bar ,100,kilopascal (kPa)
bar ,2089,pound per square . foot 
bar ,14.5,pound per square . inch 
biot,10,ampere (A)
bolt (US cloth),36.576,meter 
Btu [more Btu convert here],10600000000,erg 
Btu (39 deg.F),1059.67,joule (J)
Btu per hr (international table),0.2930711,watt 
bucket (Brit. dry),18180,cubic centimeter 
bushel (UK),0.03636872,cubic . meter 
bushel (USA),0.03523907,cubic . meter 
bushel ,1.2445,cubic . foot 
bushel ,2150.4,cubic . inch 
bushel ,35.24,litre 
bushel ,4,peck 
bushel ,64,pint (dry)
bushel ,32,quart (dry)
cable,0.1,mile (nautical)
cable,185.3,meter ( m )
caliber,0.01,inch ( inch )
caliber,0.254,millimeter ( mm )
"calorie, gram (mean)",0.00396832,Btu (mean)
calorie,1.56E-06,horsepower-hour
calorie,1.58E-06,horsepower-hour (metric)
calorie (international table),4.1868,joule ( J )
calorie (thermochemical),4.184,joule
calorie (15 degree C),4.1855,joule
calorie (20 degree C),4.1819,joule
calorie (mean),4.19002,joule
calorie (int) per hr,0.001163,watt ( W )
calorie (thermo) per square . centimeter . minch ,697.3333,watt per square . meter
calorie,1.16E-06,kilowatt-hour ( kWhr )
candela per square inch,1550.003,candela per square . meter
candle per square . centimeter ,3.142,lambert 
candle per square . inch,0.487,lambert 
carat (metric),0.2,gram ( g )
celsiu (degree C),1.8 + 32,degree Fahrenheit
centare (centiares),1,square . meter 
centigram ,0.01,gram 
centilitre,0.3382,ounce fluid (US)
centilitre,0.6103,cubic inch
centilitre,2.705,dram 
centilitre ,0.01,litre ( liter )
centimeter ,0.03281,foot ( foot )
centimeter ( centimeter ),0.3937,inch
centimeter ,1E-05,kilometer 
centimeter ,0.01,meter 
centimeter ,6.21E-06,mile 
centimeter ,10,millimeter 
centimeter ,393.7,mil 
centimeter ,0.01094,yard ( yd )
centimeters-dyne ,0.00102,centimeter -gram 
centimeter-dyne ,1.02E-08,meter-kilogram s
centimeter-dyne ,7.38E-08,pound-foot
centimeter-gram ,980.7,centimeter -dyne 
centimeter-gram ,1E-05,meter-kilogram s
centimeter-gram ,0.07233,pound-foot
centimeter of mercury (0degC),1333.2239,pascal
centimeter of mercury,0.01316,atmosphere 
centimeter of mercury,0.4461,foot of water
centimeter of mercury,136,kilogram per square . meter
centimeter of mercury,27.85,pound per square . foot 
centimeter of mercury,0.1934,pound per square . inch ( psi )
centimeter of water (4 deg.C),98.0638,pascal
centimeter of water (conventional),98.0665,pascal
centimeter per sec,1.1969,foot per minch 
centimeter per sec,0.03281,foot per sec
centimeter per sec,0.036,kilometer per hr
centimeter per sec,0.1943,knot 
centimeter per sec,0.6,meter per minch 
centimeter per sec,0.02237,mile per hr
centimeter per sec,0.0003728,mile per minch 
centimeter per sec per sec,0.03281,foot per sec per sec
centimeter per sec per sec,0.036,kilometer per hr per sec
centimeter per sec per sec,0.01,meter per sec per sec
centimeter per sec per sec,0.02237,mile per hr per sec
centipoise,0.001,pascal second (Pa-s)
centistoke ,1E-06,meter square . per second
cfm (cubic foot per minch ),472,cubic . centimeter per sec
chainch ,792,inch
chainch (engineer or Ramden's),30.48,meter 
chainch (surveyor's or Gunter's),20.12,meter 
chainch (US survey foot),20.11684,meter 
chainch (surveyor's or Gunter's),22,yard 
cheval vapeur (metric hp),735.499,watt
circular mil ,5.07E-06,square . centimeter 
circular mil ,0.7854,square . mil 
circular mil ,7.85E-07,square . inch
circumference ( circ ),6.283,radian 
