abampere,10,ampere (A)
abcoulomb,10,coulomb (C)
abfarad,1000000000,farad (F)
abhenry,1E-09,henry (H)
abmho,1000000000,siemens (S)
abohm,1E-09,ohm ()
abvolt,1E-08,volt (V)
"acceleration, standard",9.80665,m per sec squared
"acceleration, standard",32,ft./ sec / sec (ft/s²)
acre,10,sq. chain (Gunter's)
acre,160,sq. rods
acre,100000,sq. links (Gunter's)
acre,0.4047,hectare
acres,43560,sq. feet
acres,4046.873,sq. metres
acres,0.001562,sq. miles
acres,4840,sq. yards
acre-feet,43560,cu. feet
acre-feet,325900,gallons
acre-feet,1233.489,cubic metre (m³)
american wire gauge [awg],see table,standard [swg]
ampere-hours,3600,coulombs (C)
ampere-hours,0.03731,faradays
ampere-turns,1.257,gilberts
amps (watts = amps x volts),amp x volt,watts (see details)
angstrom unit,3.94E-06,inch
angstrom unit,1E-10,metre
angstrom unit,0.0001,micron
are,100,square metre
astromical unit,1.495 979E+08,kilometres
atmospheres,0.007348,ton/sq. inch
atmospheres,76,cm of mercury
atmospheres,33.9,ft. of water(at 4°C)
atmospheres,406.8,in. of water(at 4°C)
atmospheres,29.92,in. of mercury (0°C)
atmospheres,101.325,kilo Pascal
atmospheres,1.0333,kgs/sq. cm
atmospheres,10332,kgs/sq. metre
atmospheres,14.7,pounds/sq. in
atmospheres,1.058,tons/sq. ft
barn,1E-28,square metre
barrels (US dry),7056,cu. inches
barrels (US dry),105,quarts (dry)
"barrels (US, liquid)",31.5,gallons
barrels (oil),158.9873,litre (L or l)
barrels (oil),42,gallons (oil)
bars,0.9869,atmospheres
bars,1000000,dynes/sq. cm
bars,10200,kgs/sq. metre
bars,100000,pascal
bars,100,kilopascals (kPa)
bars,2089,pounds/sq. ft
bars,14.5,pounds/sq. in
biot,10,ampere (A)
bolt (US cloth),36.576,metres
Btu [more Btu converts here],10600000000,ergs
Btu (39 deg.F),1059.67,joules (J)
Btu/hr (international table),0.2930711,watts
bucket (Brit. dry),18180,cubic cm
bushels (UK),0.03636872,cu. metres
bushels (USA),0.03523907,cu. metres
bushels,1.2445,cu. ft
bushels,2150.4,cu. in
bushels,35.24,litres
bushels,4,pecks
bushels,64,pint (dry)
bushels,32,quarts (dry)
cc ( cu.cm. ),see tables,horsepower ( hp )
cable,0.1,mile (nautical)
cable,185.3,metres ( m )
caliber,0.01,inches ( in )
caliber,0.254,millimetres ( mm )
"calorie, gram (mean)",0.00396832,Btu (mean)
calorie,1.56E-06,horsepower-hour
calorie,1.58E-06,horsepower-hour (metric)
calorie (international table),4.1868,joule ( J )
calorie (thermochemical),4.184,joule
calorie (15 degree C),4.1855,joule
calorie (20 degree C),4.1819,joule
calorie (mean),4.19002,joule
calorie (int) per hr,0.001163,watt ( W )
calorie (thermo) /sq. cm. min,697.3333,watt per sq. metre
calorie,1.16E-06,kilowatt-hour ( kWhr )
candela per square inch,1550.003,candela per sq. metre
candle/sq. cm,3.142,lamberts
candle/sq. inch,0.487,lamberts
carat (metric),0.2,gram ( g )
celsius (degree C),1.8 + 32,degree Fahrenheit
centares (centiares),1,sq. metres
centigrams,0.01,grams
centilitre,0.3382,ounce fluid (US)
centilitre,0.6103,cubic inch
centilitre,2.705,drams
centilitres,0.01,litres ( liters )
centimetres,0.03281,feet ( ft )
centimetres ( cm ),0.3937,inches
centimetres,1E-05,kilometres
centimetres,0.01,metres
centimetres,6.21E-06,miles
centimetres,10,millimetres
centimetres,393.7,mils
centimetres,0.01094,yards ( yd )
centimetres-dynes,0.00102,cm-grams
centimetre-dynes,1.02E-08,metre-kgs
centimetre-dynes,7.38E-08,pound-feet
centimetre-grams,980.7,cm-dynes
centimetre-grams,1E-05,metre-kgs
centimetre-grams,0.07233,pound-feet
centimetres of mercury (0degC),1333.2239,pascal
centimetres of mercury,0.01316,atmospheres
centimetres of mercury,0.4461,feet of water
centimetres of mercury,136,kgs/sq. metre
centimetres of mercury,27.85,pounds/sq. ft
centimetres of mercury,0.1934,pounds/sq. in ( psi )
centimetres of water (4 deg.C),98.0638,pascal
centimetres of water (conventional),98.0665,pascal
centimetres/sec,1.1969,feet/min
centimetres/sec,0.03281,feet/sec
centimetres/sec,0.036,kilometres/hr
centimetres/sec,0.1943,knots
centimetres/sec,0.6,metres/min
centimetres/sec,0.02237,miles/hr
centimetres/sec,0.0003728,miles/min
centimetres/sec/sec,0.03281,feet/sec/sec
centimetres/sec/sec,0.036,km/hr/sec
centimetres/sec/sec,0.01,metres/sec/sec
centimetres/sec/sec,0.02237,miles/hr/sec
centipoise,0.001,pascal second (Pa-s)
centistokes,1E-06,metre sq. per second
cfm (cubic feet/min),472,cu. cm/sec
chain,792,inches
chain (engineers or Ramden's),30.48,metres
chain (surveyor's or Gunter's),20.12,metres
chain (US survey foot),20.11684,metres
chain (surveyor's or Gunter's),22,yards
cheval vapeur (metric hp),735.499,watt
circular mils,5.07E-06,sq. cm
circular mils,0.7854,sq. mils
circular mils,7.85E-07,sq. inches
circumference ( circ ),6.283,radians
clo,0.2003712,kelvin sq. metre per watt
clo (alternative info source),0.155,kelvin sq. metre per watt
"clothing (men, women, kids)",see tables,"size, inches, cm"
